100027,test_set_skeleton_557,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100028,test_set_skeleton_582,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100029,test_set_skeleton_588,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
10003,AS1,C. elegans,Motoneuron|principal cell,somatic nervous system|ventral nerve cord,conversion_success,Soma representation: 3-point soma
100030,test_set_skeleton_607,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100031,test_set_skeleton_62,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100032,test_set_skeleton_66,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100033,test_set_skeleton_670,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100034,test_set_skeleton_675,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100035,test_set_skeleton_73,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100036,test_set_skeleton_99,zebra finch,principal cell,basal ganglia|Area X,conversion_success,Unknown structure identifier detected|Spherical root segment does not belong to soma_group|Soma representation: no soma points detected
100037,Tracetest_N360_square_Map2Tau2_14_semi-auto_1,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100038,Tracetest_N360_square_Map2Tau2_14_semi-auto_10,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100039,Tracetest_N360_square_Map2Tau2_14_semi-auto_11,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
10004,AQR,C. elegans,putative sensory|somatic|principal cell,somatic nervous system,conversion_success,Soma representation: 3-point soma
100040,Tracetest_N360_square_Map2Tau2_14_semi-auto_12,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100041,Tracetest_N360_square_Map2Tau2_14_semi-auto_13,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100042,Tracetest_N360_square_Map2Tau2_14_semi-auto_14,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100043,Tracetest_N360_square_Map2Tau2_14_semi-auto_15,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100044,Tracetest_N360_square_Map2Tau2_14_semi-auto_16,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100045,Tracetest_N360_square_Map2Tau2_14_semi-auto_17,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100046,Tracetest_N360_square_Map2Tau2_14_semi-auto_18,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100047,Tracetest_N360_square_Map2Tau2_14_semi-auto_19,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100048,Tracetest_N360_square_Map2Tau2_14_semi-auto_2,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100049,Tracetest_N360_square_Map2Tau2_14_semi-auto_20,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
10005,ALNR,C. elegans,somatic|principal cell,somatic nervous system,conversion_success,Soma representation: 3-point soma
100050,Tracetest_N360_square_Map2Tau2_14_semi-auto_21,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100051,Tracetest_N360_square_Map2Tau2_14_semi-auto_22,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100052,Tracetest_N360_square_Map2Tau2_14_semi-auto_23,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100053,Tracetest_N360_square_Map2Tau2_14_semi-auto_24,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100054,Tracetest_N360_square_Map2Tau2_14_semi-auto_25,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100055,Tracetest_N360_square_Map2Tau2_14_semi-auto_27,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100056,Tracetest_N360_square_Map2Tau2_14_semi-auto_28,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100057,Tracetest_N360_square_Map2Tau2_14_semi-auto_3,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100058,Tracetest_N360_square_Map2Tau2_14_semi-auto_4,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100059,Tracetest_N360_square_Map2Tau2_14_semi-auto_5,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
10006,ALNL,C. elegans,somatic|principal cell,somatic nervous system,conversion_success,Soma representation: 3-point soma
100060,Tracetest_N360_square_Map2Tau2_14_semi-auto_6,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100061,Tracetest_N360_square_Map2Tau2_14_semi-auto_7,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100062,Tracetest_N360_square_Map2Tau2_14_semi-auto_8,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100063,Tracetest_N360_square_Map2Tau2_14_semi-auto_9,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100064,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_1,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100065,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_10,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100066,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_2,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100067,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_3,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100068,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_4,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100069,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_5,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
10007,ALMR,C. elegans,Mechanosensory|somatic|principal cell,somatic nervous system,conversion_success,Soma representation: 3-point soma
100070,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_6,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100071,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_7,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100072,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_8,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100073,Tracetest_N360_square_Map2Tau2_14_semi-auto_NEW_9,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100076,Tracetest_N360_square_Map2Tau2_18_semi-auto_11,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100077,Tracetest_N360_square_Map2Tau2_18_semi-auto_12,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100078,Tracetest_N360_square_Map2Tau2_18_semi-auto_13,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100079,Tracetest_N360_square_Map2Tau2_18_semi-auto_14,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
10008,ALML,C. elegans,Mechanosensory|somatic|principal cell,somatic nervous system,conversion_success,Soma representation: 3-point soma
100080,Tracetest_N360_square_Map2Tau2_18_semi-auto_15,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
100081,Tracetest_N360_square_Map2Tau2_18_semi-auto_16,rat,principal cell,neocortex|frontal,conversion_success,Soma representation: 3-point soma
